,Neighbourhood,Latitude,Longitude
0,Exarcheia,37.988170000000025,23.733610000000056
1,Asyrmatos,38.00678000000005,23.881790000000024
2,Girokomeio,38.23802000000006,21.761250000000075
3,Philopappou,37.96482967584062,23.719212298141855
4,Evangelismos,37.977670000000046,23.747780000000034
5,Omonoia,37.98709000000008,23.726720000000057
6,Goudi,37.982920000000036,23.770980000000066
7,Treis Gefyres,37.97614000000004,23.73640000000006
8,Skouze Hill,37.97729479639641,23.72868271844164
9,Ano Petralona,37.96948000000003,23.70897000000008
10,Profitis Ilias,38.08298000000008,23.722350000000063
11,Aerides,37.97614000000004,23.73640000000006
12,Ellinoroson,37.99793000000005,23.775160000000028
13,Kypseli,38.003280000000075,23.74060000000003
14,Kynosargous,38.02399505769088,23.673820087534295
15,Rizoupoli,38.02900000000005,23.738770000000045
16,Kallimarmaro,37.96691000000004,23.74022000000008
17,Agios Panteleimonas,37.96266000000003,23.625720000000058
18,Akadimia Platonos,37.990950000000055,23.70718000000005
19,Plaka,37.973520000000065,23.72915000000006
20,Thymarakia,37.97948000000008,23.643680000000074
21,Elaionas,37.96667000000008,23.669400000000053
22,Mount Lycabettus,37.978000000000065,23.736560000000054
23,Nea Filothei,37.99682000000007,23.76311000000004
24,Kolokynthou,37.99676000000005,23.706090000000074
25,Rouf,37.976830000000064,23.70989000000003
26,Mets,37.965220000000045,23.735810000000072
27,Agios Eleftherios,38.01997000000006,23.726270000000056
28,Psyri,37.97876000000008,23.72667000000007
29,Kerameikos,37.979190000000074,23.719200000000058
30,Sepolia,38.004770000000065,23.717940000000056
31,Vathi,37.778580000000034,26.888040000000046
32,Anafiotika,37.972240000000056,23.72852000000006
33,Pangrati,37.96973000000003,23.747300000000052
34,Profitis Daniil,37.98461000000003,23.71162000000004
35,Metaxourgeio,37.983040000000074,23.718690000000038
36,Petralona,37.96948000000003,23.70897000000008
37,Neapoli,37.98678000000007,23.741480000000024
38,Koukaki,37.96372000000008,23.72353000000004
39,Votanikos,37.982830000000035,23.70043000000004
40,Ampelokipoi,37.99106000000006,23.764290000000074
41,Gazi,37.97462040185835,23.76454530087124
42,Kolonaki,37.97762000000006,23.74359000000004
43,Monastiraki,37.975220000000036,23.72756000000004
44,Akadimia,37.98675000000003,23.71103000000005
45,Gouva,37.95998000000003,23.740830000000074
46,Gyzi,38.02047498933519,23.84525292476216
47,Polygono,38.002620000000036,23.751310000000046
48,Neos Kosmos,37.96142000000003,23.728710000000035
49,Ilisia,37.976410000000044,23.755570000000034
50,Kolonos,37.993340000000046,23.71637000000004
51,Kypriadou,37.9939741637774,23.745040853773638
52,Asteroskopeio,37.97438000000005,23.719200000000058
53,Patisia,38.02019000000007,23.735610000000065
54,Kountouriotika,37.98856026398835,23.735324479563403
55,Pedion tou Areos,37.995420000000024,23.740740000000073
56,Makrygianni,37.96807000000007,23.726870000000076
57,Probonas,37.97614000000004,23.73640000000006
58,Thiseio,37.97481000000005,23.71592000000004
59,Erythros Stavros,37.992680349285855,23.767630320154506
60,Attiki,37.97614000000004,23.73640000000006
